filename,macro_f1,micro_f1,num_segments,num_true_labels,num_pred_labels,num_errors
002404.wav,0.04938271604938271,0.24390243902439024,42,20,62,62
002410.wav,0.03809523809523809,0.13114754098360656,42,23,38,53
002420.wav,0.11202830188679246,0.6125,59,67,93,62
002430.wav,0.1090654336555976,0.84,57,42,58,16
002433.wav,0.12295459301109019,0.8863636363636364,54,40,48,10
002446.wav,0.1272108843537415,0.9024390243902439,40,39,43,8
002463.wav,0.14884920634920634,0.7297297297297297,43,35,39,20
002465.wav,0.07553126897389192,0.5882352941176471,53,39,46,35
002469.wav,0.07828282828282829,0.42696629213483145,67,49,40,51
002502.wav,0.07342995169082125,0.5416666666666666,34,14,34,22
002509.wav,0.13915708812260535,0.6386554621848739,43,48,71,43
002511.wav,0.12183908045977011,0.6938775510204082,51,34,64,30
002520.wav,0.20058479532163742,0.7058823529411765,34,30,55,25
002537.wav,0.05771144278606965,0.43609022556390975,78,29,104,75
002576.wav,0.03982683982683983,0.3511450381679389,58,59,72,85
002607.wav,0.09137529137529138,0.6885245901639344,43,34,27,19
002610.wav,0.09792114695340501,0.6,51,37,73,44
002624.wav,0.08162393162393163,0.4722222222222222,43,22,50,38
002631.wav,0.09964726631393298,0.7482993197278912,47,57,90,37
002655.wav,0.14559006211180126,0.6764705882352942,40,30,38,22
002694.wav,0.21264408793820558,0.8085106382978723,59,42,52,18
002716.wav,0.13218390804597702,0.6388888888888888,52,33,39,26
002717.wav,0.07916666666666666,0.35294117647058826,48,18,50,44
002749.wav,0.05333333333333334,0.3389830508474576,62,50,68,78
002751.wav,0.11884057971014492,0.8571428571428571,36,39,52,13
002760.wav,0.2335035656774787,0.7469879518072289,47,36,47,21
002764.wav,0.11050035236081748,0.8,44,41,59,20
002769.wav,0.06597938144329897,0.6530612244897959,51,48,99,51
002770.wav,0.1752006552006552,0.8421052631578947,32,32,44,12
002785.wav,0.06557377049180328,0.967741935483871,35,30,32,2
002867.wav,0.09292929292929293,0.4444444444444444,33,12,15,15
002900.wav,0.061503928170594836,0.4074074074074074,42,22,32,32
002901.wav,0.13734335839598996,0.6106870229007634,47,70,61,51
002902.wav,0.12060673325934147,0.896551724137931,30,39,48,9
002906.wav,0.1242862439747868,0.8115942028985508,33,28,41,13
002918.wav,0.15501125756880232,0.6299212598425197,54,53,74,47
002933.wav,0.06666666666666667,0.6804123711340206,35,44,53,31
002948.wav,0.06818181818181818,0.5714285714285714,35,28,35,27
002952.wav,0.09166666666666666,0.7272727272727273,37,20,24,12
002953.wav,0.10617283950617283,0.7457627118644068,50,89,88,45
002963.wav,0.1858823529411765,0.7358490566037735,58,59,47,28
002978.wav,0.22206948498258167,0.8620689655172413,40,51,65,16
002979.wav,0.21511387163561077,0.7578947368421053,63,38,57,23
002982.wav,0.12447208187589066,0.8852459016393442,51,55,67,14
003006.wav,0.07549549549549549,0.4411764705882353,46,36,32,38
003007.wav,0.1694207027540361,0.85,43,40,40,12
003010.wav,0.06545561955398022,0.5333333333333333,39,33,72,49
003018.wav,0.11558406843090084,0.7848101265822784,55,35,44,17
003023.wav,0.1361737677527151,0.37777777777777777,35,45,45,56
003027.wav,0.09371980676328502,0.5578231292517006,70,67,80,65
003032.wav,0.07733333333333334,0.43010752688172044,61,24,69,53
003039.wav,0.025,0.05357142857142857,33,34,78,106
003060.wav,0.1771752613857877,0.6190476190476191,32,35,49,32
003064.wav,0.11414728682170544,0.7352941176470589,42,25,43,18
003118.wav,0.08612836438923395,0.46808510638297873,41,13,34,25
003127.wav,0.05396825396825397,0.3469387755102041,67,22,76,64
003132.wav,0.19275641025641027,0.8113207547169812,40,86,126,40
003166.wav,0.10354978354978354,0.45714285714285713,51,21,49,38
003170.wav,0.08264264264264264,0.547945205479452,33,33,40,33
003176.wav,0.0425531914893617,0.5263157894736842,43,30,27,27
003179.wav,0.09172932330827067,0.8421052631578947,67,48,66,18
003180.wav,0.12783473836105416,0.7578947368421053,32,42,53,23
003233.wav,0.05614035087719298,0.5818181818181818,44,19,36,23
003242.wav,0.05416666666666667,0.5777777777777777,34,24,21,19
003254.wav,0.06153846153846154,0.3870967741935484,57,32,92,76
003258.wav,0.029629629629629627,0.09302325581395349,36,22,21,39
003304.wav,0.10063348416289593,0.4117647058823529,56,56,148,120
003307.wav,0.06274509803921569,0.6857142857142857,41,32,38,22
003308.wav,0.18180660298307358,0.8322981366459627,36,77,84,27
003310.wav,0.10307017543859649,0.5238095238095238,66,26,58,40
003315.wav,0.11259063941990771,0.6346153846153846,65,38,66,38
003323.wav,0.0656084656084656,0.9841269841269841,32,32,31,1
003336.wav,0.04705882352941177,0.10434782608695652,49,19,96,103
003359.wav,0.11200000000000002,0.7166666666666667,55,61,59,34
003360.wav,0.05090909090909091,0.6461538461538462,42,25,40,23
003364.wav,0.08253968253968254,0.2641509433962264,31,22,31,39
003365.wav,0.07978363759296822,0.375,30,95,49,90
003367.wav,0.1619450317124736,0.693069306930693,39,89,113,62
003378.wav,0.13321162947937795,0.6060606060606061,31,32,67,39
003384.wav,0.11137594799566632,0.6915887850467289,40,43,64,33
003416.wav,0.14839993033211413,0.7142857142857143,34,47,65,32
